timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751382028020,15,GET CSRF Token,200,,Thread Group 1-11,text,true,,564,185,7,7,http://137.43.49.25:443/api/csrf-token,15,0,0
1751382028024,14,GET Zone Busyness,200,,Thread Group 1-7,text,true,,487,185,7,7,http://137.43.49.25:443/api/zones/114?predictedHours=3&dateTime=2025-07-13T09:00:00.000000Z,14,0,0
1751382028020,22,POST Park Travel Plan,201,,Thread Group 1-9,text,true,,632,483,7,7,http://137.43.49.25:443/api/userplans,21,0,0
1751382028035,16,Delete Account,204,,Thread Group 1-6,,true,,393,317,7,7,http://137.43.49.25:443/api/user,0,0,0
1751382028035,31,Post User Picture,201,,Thread Group 1-11,text,true,,578,9353,6,6,http://137.43.49.25:443/api/user/picture,31,0,0
1751382028067,18,GET User Details,200,,Thread Group 1-11,text,true,,621,231,6,6,http://137.43.49.25:443/api/user,17,0,0
1751382028085,10,GET User Picture,200,,Thread Group 1-11,bin,true,,9295,231,6,6,http://137.43.49.25:443/api/user/picture/user_699_istockphoto-1337144146-612x612.jpg,8,0,0
1751382027963,137,Post Account,201,,Thread Group 1-12,text,true,,583,248,6,6,http://137.43.49.25:443/api/register,137,0,0
1751382027668,436,GET List of Recommendations,200,,Thread Group 1-10,text,true,,1217,1360,6,6,http://137.43.49.25:443/api/pois/recommendation,422,0,0
1751382027641,473,GET List of Recommendations,200,,Thread Group 1-8,text,true,,1217,1360,6,6,http://137.43.49.25:443/api/pois/recommendation,463,0,0
1751382028105,16,POST Travel Plans,201,,Thread Group 1-10,text,true,,1048,979,6,6,http://137.43.49.25:443/api/userplans/multiple,16,0,0
1751382028122,31,Delete Museum Travel Plan,204,,Thread Group 1-10,,true,,393,295,6,6,http://137.43.49.25:443/api/userplans/3759,0,0,0
1751382028115,39,POST Travel Plans,201,,Thread Group 1-8,text,true,,1048,979,6,6,http://137.43.49.25:443/api/userplans/multiple,38,0,0
1751382028153,17,Delete Parts of Travel Plan,204,,Thread Group 1-10,,true,,393,303,6,6,http://137.43.49.25:443/api/userplans,0,0,0
1751382028154,17,Delete Museum Travel Plan,204,,Thread Group 1-8,,true,,393,295,6,6,http://137.43.49.25:443/api/userplans/3758,0,0,0
1751382028171,12,GET Travel Plans,200,,Thread Group 1-10,text,true,,932,268,6,6,http://137.43.49.25:443/api/userplans,12,0,0
1751382028171,17,Delete Parts of Travel Plan,204,,Thread Group 1-8,,true,,393,303,6,6,http://137.43.49.25:443/api/userplans,0,0,0
1751382028038,151,Post Account,201,,Thread Group 1-7,text,true,,582,247,6,6,http://137.43.49.25:443/api/register,151,0,0
1751382028189,12,GET Travel Plans,200,,Thread Group 1-8,text,true,,932,268,6,6,http://137.43.49.25:443/api/userplans,12,0,0
1751382028201,15,PUT Travel Plan,200,,Thread Group 1-8,text,true,,632,462,6,6,http://137.43.49.25:443/api/userplans/3768,15,0,0
